+44 , Lycanthrope
3 Doors Down , Kryptonite
30 Seconds to Mars , Attack
30 Seconds to Mars , From Yesterday
30 Seconds to Mars , Kings and Queens
30 Seconds to Mars , The Kill
311 , Beautiful Disaster
A Day to Remember , 2nd Sucks
A Day To Remember , All I Want
A Day to Remember , NJ Legion Iced Tea
A Day To Remember , The Downfall Of Us All
A Perfect Circle , Judith
A Perfect Circle , The Outsider
Aerosmith , Back in the Saddle
Aerosmith , Cryin'
Aerosmith , Dream On
Aerosmith , Livin' on the Edge
Aerosmith , Love in an Elevator
Aerosmith , Rag Doll
Aerosmith , Same Old Song & Dance
Aerosmith (WaveGroup) , Last Child
Aerosmith (WaveGroup) , Last Child (Co-op)
AFI , Beautiful Thieves
AFI , Carcinogen Crush
AFI , Dancing Through Sunday
AFI , Girl's Not Grey
AFI , Medicate
AFI , Miss Murder
AFI , Miss Murder
AFI , The Missing Frame
Against Me! , New Wave
Airbourne , Too Much, Too Young, Too Fast
Alexisonfire , Young Cardinals
Alice Cooper , Elected
Alice Cooper , I'm Eighteen
Alice Cooper , No More Mr. Nice Guy
Alice Cooper , Poison
Alice Cooper , School's Out
Alice Cooper , Welcome to My Nightmare
Alice Cooper (WaveGroup) , Billion Dollar Babies
Alice Cooper (WaveGroup) , School's Out
Alice In Chains , No Excuses
Alice in Chains , Them Bones
Alice in Chains (WaveGroup) , Them Bones
All That Remains , Six
All Time Low , Damned If I Do Ya (Damned If I Don't)
All Time Low , Dear Maria, Count Me In
All Time Low , Weightless
Alpha Rev , Face Down
Alter Bridge , Ties That Bind
Amon Amarth , Twilight of the Thunder God
An Endless Sporadic , Anything
An Endless Sporadic , From the Blue/Point of No Return/T.T.R.T.S
An Endless Sporadic , Impulse
Anarchy Club , Collide
Anberlin , The Feel Good Drag
Angels & Airwaves , Everything's Magic
Anouk , Good God
Anthrax , Caught in a Mosh
Anthrax , Indians
Anthrax (WaveGroup) , Madhouse
Arch Enemy , Nemesis
Arctic Monkeys , Brianstorm
At the Drive-In , One Armed Scissor
Atreyu , Ex's and Oh's
Atreyu , Ravenous
Attack! Attack! , You & Me
Avenged Sevenfold , Afterlife
Avenged Sevenfold , Almost Easy
Avenged Sevenfold , Almost Easy
Avenged Sevenfold , Bat Country
Avenged Sevenfold , Beast and The Harlot
Avenged Sevenfold , Scream
Avenged Sevenfold (WaveGroup) , Beast And the Harlot
Awaken , The Silence Is Deafening
Backyard Babies , Degenerated
Backyard Babies , Minus Celsius
Bad Brains , Re-Ignition (Live)
Bad Religion , 21st Century (Digital Boy)
Bad Religion , Sorrow
Bad Religion (WaveGroup) , Infected
Band Of Horses , Cigarettes, Wedding Bands
Band of Skulls , I Know What I Am
Bang Camaro , Push Push (Lady Lightning)
BB Brunes , Dis-Moi
Beastie Boys , Gratitude
Beastie Boys , Sabotage
Beastie Boys ft. Kerry King , No Sleep Till Brooklyn
Beatsteaks , Hail to the Freaks
Beck , Gamma Ray
Ben Harper and Relentless7 , Fly One Time
Ben Harper and Relentless7 , Number with No Name
Ben Harper and Relentless7 , Shimmer & Shine
Billy Idol , Dancing With Myself
Billy Idol , Rebel Yell
Billy Squier , Everybody Wants You
Billy Squier , Lonely Is The Night
Billy Squier , The Stroke
Billy Squier , When She Comes to Me
Black Label Society , Black Sunday
Black Label Society , Crazy Horse
Black Label Society , Parade of the Dead
Black Label Society , Stillborn
Black Rebel Motorcycle Club , Weapon of Choice
Black Sabbath , After Forever
Black Sabbath , Children of the Grave
Black Sabbath , Into The Void
Black Sabbath , Sweet Leaf
Black Sabbath (Steve Ouimette) , Paranoid
Black Sabbath (WaveGroup) , War Pigs
Blind Melon , No Rain
Blind Melon , Tones of Home
Blink 182 , The Rock Show
blink-182 , Adam's Song
blink-182 , All the Small Things
Blink-182 , Dammit (Growing Up)
blink-182 , First Date
Blink-182 , What's My Age Again?
Bloc Party , Helicopter
Blondie , One Way or Another
Blue Oyster Cult , Burnin' for You
Blue Oyster Cult , Godzilla
Blue Oyster Cult (WaveGroup) , Cities On Flame with Rock & Roll
Blur , Song 2
Blur , There's No Other Way
Bob Dylan , All Along The Watchtower
Bob Seger , Get Out of Denver
Bob Seger & the Silver Bullet Band , Her Strut
Bob Seger & the Silver Bullet Band , Hollywood Nights
Bob Seger & the Silver Bullet Band , Old Time Rock and Roll
Bob Seger and the Silver Bullet Band , Turn the Page (Live)
Bon Jovi , Livin' on a Prayer
Bon Jovi , You Give Love A Bad Name
Boston , More than a Feeling
Boston , Peace of Mind
Boston , Rock and Roll Band
Brad Paisley , Ticks
Brand New , Sic Transit Gloria... Glory Fades
Brand New , Sowing Season (Yeah)
Breaking Benjamin , Give Me a Sign
